source_id,organization,prefecture,municipality_type,source_name,source_url,source_type,watch_scope,keywords,check_frequency,last_checked,next_check_date,is_active,priority,notes
MWS-0001,五泉市,新潟県,市,生成AIサービス提供業務,https://www.city.gosen.lg.jp/organization/3/1/13302.html,予算・入札,個別案件,生成AI;選定結果;契約;サービス開始,毎週,2026-07-19,2026-09-09,true,高,MRQ-0005を追跡;総括審査結果通知予定日の翌日に確認
MWS-0002,松江市,島根県,市,松江市生成AI導入支援業務,https://www.city.matsue.lg.jp/gyoseijoho/seisaku_keikaku_tokei/6/1/25445.html,予算・入札,個別案件,生成AI;選定結果;契約;導入,毎週,2026-07-19,2026-07-26,true,高,MRQ-0006を追跡;選定結果と契約先の公表を確認
MWS-0003,青森県,青森県,都道府県,青森県生成AI導入業務,https://www.pref.aomori.lg.jp/soshiki/seisaku/dxsuishin/seiseiai.html,予算・入札,個別案件,生成AI;選考結果;契約;導入,隔週,2026-07-19,2026-08-01,true,高,MGR-0023およびMRQ-0010を追跡;選考結果と契約締結を確認
MWS-0004,横浜市,神奈川県,市,AIオンライン手続ナビ導入及び運用・保守業務,https://www.city.yokohama.lg.jp/business/nyusatsu/kakukukyoku/2026/itaku/zaisei/r8aionline.html,予算・入札,個別案件,AIオンライン手続ナビ;選定結果;契約;運用開始,隔週,2026-07-19,2026-08-15,true,高,MRQ-0016を追跡;結果公表とサービス仕様を確認
MWS-0005,姫路市,兵庫県,市,市民向け生成AIチャットボットサービスRFI,https://www.city.himeji.lg.jp/sangyo/0000033481.html,自治体公式,個別案件,生成AI;チャットボット;公募;調達,毎月,2026-07-19,2026-10-01,true,中,MRQ-0018を追跡;RFI後の調達開始を確認
MWS-0006,北区,東京都,特別区,令和8年度生成AI活用による業務効率化実証実験RFI,https://www.city.kita.lg.jp/city-information/policy/1018355/1011917/1018893/1025582.html,自治体公式,個別案件,生成AI;AIプラットフォーム;実証;事業者,毎月,2026-07-19,2026-09-01,true,中,MRQ-0012を追跡;実証開始と協力事業者を確認
MWS-0007,大阪市,大阪府,市,令和8年度大阪市生成AI活用ロードマップ作成等支援業務,https://www.city.osaka.lg.jp/templates/proposal_senteikekka/ictsenryakushitsu/0000675178.html,予算・入札,個別案件,生成AI;ロードマップ;受託候補者;契約,毎月,2026-07-19,2026-08-19,true,中,MRQ-0015を追跡;契約内容とロードマップ公表を確認
MWS-0008,岐阜県,岐阜県,都道府県,県ホームページ生成AIチャットボットAIナビゲーター,https://www.pref.gifu.lg.jp/site/pressrelease/478572.html,自治体公式,個別案件,AIナビゲーター;チャットボット;利用実績;効果,毎月,2026-07-19,2026-08-19,true,中,MRQ-0020を追跡;提供企業と利用実績を確認
MWS-0009,北海道,北海道,都道府県,北海道生成AI活用推進業務,https://www.pref.hokkaido.lg.jp/sm/jsk/186926.html,予算・入札,個別案件,生成AI;効果公表;本格導入;翌年度,毎月,2026-07-19,2026-08-19,true,中,MGR-0018を追跡;契約後の効果と翌年度継続を確認
MWS-0010,福島県,福島県,都道府県,令和8年度福島県生成AIサービス導入支援業務,https://www.pref.fukushima.lg.jp/sec/11045a/ai-proposal-2026.html,予算・入札,個別案件,生成AI;電通総研;契約金額;効果測定,毎月,2026-07-19,2026-08-19,true,中,MGR-0030を追跡;製品名と契約金額と効果公表を確認
MWS-0011,近江八幡市,滋賀県,市,おうみ自治体クラウド生成AIサービス提供事業,https://www.city.omihachiman.lg.jp/soshiki/joho_seisaku/cloud/nyusatsu/41146.html,予算・入札,個別案件,生成AI;共同利用;利用開始;6市,毎月,2026-07-19,2026-08-19,true,高,MGR-0026を追跡;6市での利用開始と運用実績を確認
